x,y,z,
-0.19902039,5.7963715,8.251907, 
-0.5677185,6.054947,10.277405, 
-1.4200592,5.925659,10.167267, 
-1.5110321,3.8953705,11.2925415, 
-1.8462219,2.612091,9.640549, 
-0.4958954,2.7078552,8.453018, 
1.1513214,3.3303375,5.584778, 
1.3380737,3.6224365,5.4698486, 
-0.16070557,4.177887,7.040436, 
-0.7448883,5.0541687,7.1457825, 
-0.79756165,5.7101746,8.189667, 
-0.97473145,6.2321167,8.788223, 
0.753891,5.0302277,11.235092, 
1.1992035,3.7565155,9.434647, 
1.63974,2.363083,11.005249, 
-0.13197327,2.7174225,7.8927765, 
0.2702484,2.9855804,6.3700714, 
0.48573303,3.2968292,8.544006, 
0.33729553,3.9767761,8.764267, 
0.77783203,4.3023987,7.864044, 
0.6246033,4.560959,9.061157, 
0.14097595,4.4364624,8.448242, 
-0.0074768066,3.928894,9.932648, 
-0.012268066,3.7756653,7.586319
